Statistical unit;Unit of measure;Sex;Age;Reference area;Time Period;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
ILO_POP:ILO Population;PER:Number of persons;F:Female;Y_GE15:15 years and over;IR:Iran (Islamic Republic of);ILO_POP:PER:F:Y_GE15:IR;;;;;;;;;;;;;;;;;;;;;;15557;15962;16372;16829;17361;18067;18836;19647;20470;21287;22110;22944;23794;24651;25492;26143;26762;27331;27846;28315;28759;29173;29554;29908;30245;30585;30917
PPP_GDP:PPP conversion factor, GDP;LCU_INTER:LCU per international $;_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);PPP_GDP:LCU_INTER:_Z:_Z:IR;;;;;;;;;;;;;;;;;;;;;9.175.153;11.187.318;14.211.085;20.289.826;26.557.769;35.926.216;45.964.041;52.659.011;56.926.291;74.686.313;91.218.315;104.029.534;132.427.636;146.765.964;178.066.559;207.305.462;230.455.759;275.975.510;323.234.807;335.550.526;384.152.912;465.746.317;567.153.208;756.655.112;823.876.352;818.536.263;821.214.817;872.016.547
GNI_CAP:GNI per capita;LCU_CUR:current LCU;_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);GNI_CAP:LCU_CUR:_Z:_Z:IR;2.915.937.009;3.552.387.036;4.320.549.202;6.036.193.311;9.831.180.417;10.783.129.344;14.228.209.283;16.341.734.873;14.901.992.682;17.772.558.755;18.079.119.384;20.961.173.955;26.475.251.355;31.773.946.071;33.395.633.573;34.071.498.425;33.308.068.028;38.999.052.412;42.078.610.614;50.809.112.187;67.792.250.040;93.906.209.211;123.506.683.563;180.686.680.492;232.084.908.003;329.213.136.564;432.803.502.266;503.390.395.816;557.126.140.352;724.156.272.597;948.776.579.611;1.100.772.346.749;1.509.917.525.215;1.831.764.178.508;2.347.665.012.344;2.877.281.980.809;3.430.168.999.802;4.520.490.765.863;5.354.490.235.283;5.572.526.325.025;6.754.456.513.809;8.473.555.770.996;9.670.632.649.721;12.916.318.345.572;14.732.421.411.119;14.419.052.557.973;16.433.243.725.746;18.321.216.357.876
GDP_CAP:GDP per capita;INTER_CONST2011:constant 2011 international $;_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);GDP_CAP:INTER_CONST2011:_Z:_Z:IR;;;;;;;;;;;;;;;;;;;;;1.139.256.363;1.254.686.020;1.270.650.171;1.267.966.986;1.233.455.194;1.243.897.010;1.286.845.557;1.269.801.137;1.273.291.605;1.261.248.345;1.313.547.202;1.304.744.756;1.381.283.121;1.483.830.032;1.530.845.479;1.561.625.466;1.621.147.406;1.733.812.648;1.718.728.763;1.716.205.336;1.794.283.284;1.819.210.560;1.662.591.922;1.638.326.035;1.692.420.068;1.650.090.051;1.849.767.433;1.908.261.960
GDP_CAP:GDP per capita;USD_CUR:current US$;_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);GDP_CAP:USD_CUR:_Z:_Z:IR;38.494.218;46.896.199;57.036.953;87.630.924;145.377.899;158.189.264;201.718.427;231.538.204;216.815.587;242.645.437;244.030.565;249.888.706;300.713.316;358.265.155;356.850.513;380.594.309;424.498.513;261.751.146;231.853.845;219.975.742;221.984.230;;;108.056.123;120.286.833;159.171.607;195.514.603;181.658.669;172.575.628;174.982.778;165.716.975;189.099.153;189.203.614;223.134.280;272.983.842;321.565.343;373.868.928;485.736.837;557.441.044;561.911.762;653.192.743;772.934.335;783.290.264;603.619.209;554.098.414;486.229.973;521.910.980;541.520.964
ILO_LFPR:ILO Labour force participation rate;PT:Percentage;M:Male;Y_GE15:15 years and over;IR:Iran (Islamic Republic of);ILO_LFPR:PT:M:Y_GE15:IR;;;;;;;;;;;;;;;;;;;;;;8.030.000;7.940.000;7.840.000;7.720.000;76;7.470.000;7.430.000;74;7.380.000;7.370.000;7.370.000;7.370.000;7.380.000;74;7.430.000;7.320.000;7.230.000;7.030.000;7.070.000;70;6.990.000;6.980.000;6.960.000;6.950.000;7.030.000;7.150.000;7.140.000
GOV_EXP:Government expenditure;LCU_CUR:current LCU;_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);GOV_EXP:LCU_CUR:_Z:_Z:IR;;;;;;;;;;;;;;;;;;;;;7,7508E+12;9,49E+12;1,3074E+13;3,5734E+13;3,9208E+13;5,1467E+13;5,8398E+13;6,8591E+13;7,4187E+13;9,27824E+13;1,04704E+14;1,25742E+14;2,06265E+14;2,51732E+14;2,97493E+14;4,30714E+14;5,64866E+14;6,17567E+14;8,28826E+14;8,10202E+14;9,17548E+14;1,16508E+15;1,03926E+15;1,41514E+15;1,73512E+15;1,9904E+15;2,4872E+15;2,65643E+15
GDP_PPP:GDP, PPP;INTER_CUR:current international $;_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);GDP_PPP:INTER_CUR:_Z:_Z:IR;;;;;;;;;;;;;;;;;;;;;41.401.534.485.841.900;48.077.150.116.393.500;50.567.016.373.779.600;52.308.546.256.082.500;52.614.225.122.672.000;54.937.641.232.850.900;58.834.520.836.490.100;60.129.939.766.668.900;62.106.239.091.340.100;63.596.088.123.725.000;68.853.505.419.123.100;70.970.946.272.045.400;77.296.026.741.782.400;85.723.468.168.602.600;91.933.719.601.174.500;97.918.677.093.118.200;105.973.143.289.459.000;117.666.392.111.671.000;120.275.514.653.099.000;122.409.768.369.105.000;131.088.744.315.548.000;137.335.083.135.752.000;129.452.546.352.178.000;131.287.923.670.185.000;139.796.312.798.829.000;1,39446E+12;160.143.968.826.397.000;170.035.586.343.013.000
DEC:DEC alternative conversion factor;LCU_USD:LCU per US$;_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);DEC:LCU_USD:_Z:_Z:IR;7.575.000;7.575.000;7.575.000;6.888.200;6.762.500;6.816.600;7.053.500;7.057.900;7.047.500;7.047.500;7.157.500;8.002.700;8.445.200;8.722.800;9.190.200;8.773.300;7.655.000;14.491.000;17.797.000;226;30.434.700;;;1665;194.500.000;204.700.000;224.600.000;277.950.000;3206;4172;5731;5819;7958;819.388.960;861.398.930;896.395.890;917.094.290;928.115.180;9574;9920;1.033.900.000;10962;12260;21253;2.650.900.000;29580;31389;3.373.590.140
PHR_USD190:Poverty headcount ratio at $1.90 a day;PT_POP:as % of total population;_T:Total;_T:Total;IR:Iran (Islamic Republic of);PHR_USD190:PT_POP:_T:_T:IR;;;;;;;;;;;;;;;;;740.000;;;;6;;;;320.000;;;;260.000;;;;;;;0.40000;0.40000;;;1;;;;0.10000;0.20000;;;
